	Domain	Phylum	Class	Order	Family	Genus	Species
OTU2087	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	s:Tulostoma_xerophilum_SH024501.07FU
OTU2088	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Ceratobasidiaceae	g:Rhizopus	s:Halteromyces_radiatus_SH456531.07FU
OTU2089	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	g:Lecanicillium	s:Cordyceps_bassiana_SH212412.07FU
OTU2090	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Ramalinaceae	g:Toninia	s:Toninia_physaroides_SH526329.07FU
OTU2091	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Sporormia	s:Sporormiella_minimoides_SH006638.07FU
OTU2092	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	s:Rhizophagus_intraradices_SH001096.07FU
OTU2093	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	s:Rhizophagus_irregularis_SH196851.07FU
OTU2094	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Inocybaceae	g:Inocybe	s:Cystangium_sessile_SH004145.07FU
OTU2095	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Cystofilobasidiales	f:Cystofilobasidiales_fam_Incertae_sedis	g:Mrakiella	s:Mrakiella_aquatica_SH202459.07FU
OTU2096	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Retroconis_fusiformis_SH195334.07FU
OTU2097	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Russulaceae	g:Russula	s:Odontia_duemmeri_SH018625.07FU
OTU2098	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymosphaeriaceae	g:Alloconiothyrium	s:Alloconiothyrium_aptrootii_SH186961.07FU
OTU2099	d:Fungi	p:Kickxellomycota	c:Kickxellomycetes	o:Kickxellales	f:Kickxellaceae	g:Ramicandelaber	s:Ramicandelaber_taiwanensis_SH184018.07FU
OTU2100	d:Fungi	p:Chytridiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Entoloma	s:Mucor_fuscus_SH196583.07FU
OTU2101	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Septoriella	s:Septoriella_hirta_SH182993.07FU
OTU2102	d:Fungi	p:Basidiomycota	c:Malasseziomycetes	o:Malasseziales	f:Malasseziaceae	g:Malassezia	s:Malassezia_globosa_SH184036.07FU
OTU2103	d:Fungi	p:Ascomycota	c:Agaricomycetes	o:Agaricales	f:Aspergillaceae	g:Penicillium	s:Penicillium_chrysogenum_SH495026.07FU
OTU2104	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Herpotrichiellaceae	g:Physconia	s:Physconia_venusta_SH202093.07FU
OTU2105	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Thelephorales	f:Thelephoraceae	g:Tomentella	s:Thelephora_palmata_SH178636.07FU
OTU2106	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Debaryomycetaceae	g:Meyerozyma	s:Candida_smithsonii_SH192555.07FU
OTU2107	d:Fungi	p:Ascomycota	c:Lecanoromycetes	o:Ostropales	f:Ramalinaceae	g:Toninia	s:Toninia_physaroides_SH526329.07FU
OTU2108	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Sparassidaceae	g:Sparassis	s:Heinemannomyces_splendidissimus_SH217834.07FU
OTU2109	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Ascobolaceae	g:Ascobolus	s:Ascobolus_crenulatus_SH025084.07FU
OTU2110	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Ophiocordycipitaceae	g:Arthroderma	s:Arthroderma_curreyi_SH630996.07FU
OTU2111	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Glomerellales	f:Plectosphaerellaceae	g:Plectosphaerella	s:Peziza_varia_SH190308.07FU
