"","Row.names","NMDS1","NMDS2","Domain","Phylum","Class","Order","Family","Genus","Species"
"888","OTU231",0.187774040624187,-0.352582732701149,"Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unk"
"889","OTU2311",-0.0273612821903389,-0.11793002489417,"Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","unk"
"890","OTU2313",-0.156894505436314,0.104725278130486,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"891","OTU2314",-0.00623141986247679,0.0785060947465108,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"892","OTU2315",-0.128820383894721,0.121131061349467,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Stagonospora","unk"
"893","OTU2316",0.0359594504566744,0.0624560483078192,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk"
"894","OTU2317",-0.00903103534881779,-0.106408167996056,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"895","OTU2319",-0.0918115005264204,-0.00732145992403404,"Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Sphaerobolus","unk"
"896","OTU232",0.345823596495656,0.548505947578769,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk"
"897","OTU2321",-0.110421786877541,0.090436857428902,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"898","OTU2322",0.0291322475629666,0.294488633837335,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris_victoriae"
"899","OTU2323",-0.107124629174237,0.174581093165512,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
"900","OTU2327",0.0837575612419399,-0.269260291942927,"Fungi","Glomeromycota","Glomeromycetes","unk","unk","unk","unk"
"901","OTU2328",0.435907469847698,0.314247787070612,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus_cucumeris"
"902","OTU2329",-0.106894700255727,0.156522278513616,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
"903","OTU233",-0.181588725345897,0.162415689192479,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","unk"
"904","OTU2331",0.0656481337817807,0.125961447870354,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","unk"
"905","OTU2333",-0.0681510542211526,-0.16712759800544,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","unk"
"906","OTU2334",0.177407744208627,0.229049185898354,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"907","OTU2335",-0.186995631867427,-0.000601318625961708,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Massarina","unk"
"908","OTU2337",0.0423630793951471,0.0448724833314513,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk"
"909","OTU2338",-0.187205059052898,0.0834512422125105,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
