"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU241" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU456" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU580" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU414" "d:Fungi" "p:Ascomycota" "c:Pezizomycetes" "o:Pezizales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU304" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU176" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "g:Kamienskia" "s:Kamienskia_divaricata_SH1561105.08FU"
"OTU538" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU554" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Chaetothyriales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU102" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU358" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Agaricaceae" "g:Tulostoma" "UNKNOWN"
"OTU184" "d:Fungi" "p:Ascomycota" "c:Pezizomycetes" "o:Pezizales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU246" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU99" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU474" "d:Fungi" "p:Chytridiomycota" "c:Spizellomycetes" "o:Spizellomycetales" "f:Spizellomycetaceae" "g:Spizellomyces" "UNKNOWN"
"OTU107" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU723" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU560" "d:Fungi" "p:Ascomycota" "c:Orbiliomycetes" "o:Orbiliales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU148" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU643" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Coniochaetales" "f:Coniochaetaceae" "UNKNOWN" "UNKNOWN"
"OTU118" "d:Fungi" "p:Ascomycota" "c:Leotiomycetes" "o:Thelebolales" "f:Pseudeurotiaceae" "UNKNOWN" "UNKNOWN"
"OTU49" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU240" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2532" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Didymellaceae" "UNKNOWN" "UNKNOWN"
