"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU1539" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Ascobolaceae" "Ascobolus" "unk"
"OTU86" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Montagnulaceae" "Pseudocamarosporium" "unk"
"OTU150" "Fungi" "Ascomycota" "dummy_class_Scolecobasidium" "dummy_order_Scolecobasidium" "dummy_family_Scolecobasidium" "Scolecobasidium" "unk"
"OTU122" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "unk"
"OTU70" "Fungi" "Ascomycota" "Eurotiomycetes" "unk" "unk" "unk" "unk"
"OTU179" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU357" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU3773" "Fungi" "Glomeromycota" "unk" "unk" "unk" "unk" "unk"
"OTU417" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU878" "Fungi" "Ascomycota" "Sordariomycetes" "unk" "unk" "unk" "unk"
"OTU230" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Sporormiaceae" "Westerdykella" "unk"
"OTU321" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU205" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU79" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Ascobolaceae" "Ascobolus" "unk"
"OTU504" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU4363" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Diatrypaceae" "Monosporascus" "unk"
"OTU4136" "" "unk" "unk" "unk" "unk" "unk" "unk"
"OTU348" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU46" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Ceratobasidiaceae" "Ceratobasidium" "unk"
"OTU908" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU689" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU427" "Fungi" "unk" "unk" "unk" "unk" "unk" "unk"
"OTU162" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU212" "Fungi" "Ascomycota" "dummy_class_Acrophialophora" "dummy_order_Acrophialophora" "dummy_family_Acrophialophora" "Acrophialophora" "unk"
"OTU617" "Fungi" "Chytridiomycota" "unk" "unk" "unk" "unk" "unk"
"OTU4141" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU225" "Fungi" "Ascomycota" "Dothideomycetes" "unk" "unk" "unk" "unk"
"OTU124" "Fungi" "Ascomycota" "Sordariomycetes" "unk" "unk" "unk" "unk"
"OTU376" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizaceae" "Peziza" "unk"
"OTU42" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Cortinariaceae" "Cortinarius" "unk"
"OTU422" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU516" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Coniothyriaceae" "Coniothyrium" "unk"
"OTU912" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU4038" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU622" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Tulasnellaceae" "Tulasnella" "unk"
"OTU1793" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU758" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Exophiala_xenobiotica"
"OTU80" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Marasmiaceae" "Marasmius" "unk"
"OTU249" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU2030" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Thielavia" "unk"
