"","variable","Guild_comb","value","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","sampleID","project","Location","Spp","Rep","site_spp"
"52","fungi.Ecotone.LATR.5","Saprotroph",165.360929072874,"Ecotone_LATR_5",77,55.6,20,24.4,8.4,0,217,1,0.8,"E","Latr",5,1.72,102.5,31.62,1887.3,"192.79","11508.77",20.47,1222.06,"fungi.Ecotone.LATR.5","transitions","Ecotone","LATR",5,"E.Latr"
"53","fungi.Ecotone.LATR.6","Arbuscular Mycorrhizal",55.3204930672964,"Ecotone_LATR_6",78,59.6,20,20.4,8.4,0,223,0.8,0.9,"E","Latr",6,2.18,112.94,41.44,2151.36,"181.86","9440.49",34.46,1788.72,"fungi.Ecotone.LATR.6","transitions","Ecotone","LATR",6,"E.Latr"
"54","fungi.Ecotone.LATR.6","Endophyte",19.4024042670312,"Ecotone_LATR_6",78,59.6,20,20.4,8.4,0,223,0.8,0.9,"E","Latr",6,2.18,112.94,41.44,2151.36,"181.86","9440.49",34.46,1788.72,"fungi.Ecotone.LATR.6","transitions","Ecotone","LATR",6,"E.Latr"
"55","fungi.Ecotone.LATR.6","Plant Pathogen",62.8735354132598,"Ecotone_LATR_6",78,59.6,20,20.4,8.4,0,223,0.8,0.9,"E","Latr",6,2.18,112.94,41.44,2151.36,"181.86","9440.49",34.46,1788.72,"fungi.Ecotone.LATR.6","transitions","Ecotone","LATR",6,"E.Latr"
"56","fungi.Ecotone.LATR.6","Saprotroph",127.904553099968,"Ecotone_LATR_6",78,59.6,20,20.4,8.4,0,223,0.8,0.9,"E","Latr",6,2.18,112.94,41.44,2151.36,"181.86","9440.49",34.46,1788.72,"fungi.Ecotone.LATR.6","transitions","Ecotone","LATR",6,"E.Latr"
"57","fungi.Ecotone.LATR.7","Arbuscular Mycorrhizal",182.298006207544,"Ecotone_LATR_7",79,67.6,18,14.4,8.3,18,232,1,2.4,"E","Latr",7,5.25,316.22,65.55,3948.67,"62.24","3749.33",72.27,4353.8,"fungi.Ecotone.LATR.7","transitions","Ecotone","LATR",7,"E.Latr"
"58","fungi.Ecotone.LATR.7","Endophyte",17.7277832427471,"Ecotone_LATR_7",79,67.6,18,14.4,8.3,18,232,1,2.4,"E","Latr",7,5.25,316.22,65.55,3948.67,"62.24","3749.33",72.27,4353.8,"fungi.Ecotone.LATR.7","transitions","Ecotone","LATR",7,"E.Latr"
"59","fungi.Ecotone.LATR.7","Plant Pathogen",81.1026981616781,"Ecotone_LATR_7",79,67.6,18,14.4,8.3,18,232,1,2.4,"E","Latr",7,5.25,316.22,65.55,3948.67,"62.24","3749.33",72.27,4353.8,"fungi.Ecotone.LATR.7","transitions","Ecotone","LATR",7,"E.Latr"
"60","fungi.Ecotone.LATR.7","Saprotroph",218.05792133335,"Ecotone_LATR_7",79,67.6,18,14.4,8.3,18,232,1,2.4,"E","Latr",7,5.25,316.22,65.55,3948.67,"62.24","3749.33",72.27,4353.8,"fungi.Ecotone.LATR.7","transitions","Ecotone","LATR",7,"E.Latr"
"61","fungi.Ecotone.LATR.8","Arbuscular Mycorrhizal",76.3269686488078,"Ecotone_LATR_8",80,59.6,18,22.4,8.5,0,232,0.8,1.4,"E","Latr",8,3.07,197.11,23.22,1491.94,"144.69","9298.34",21.24,1365.2,"fungi.Ecotone.LATR.8","transitions","Ecotone","LATR",8,"E.Latr"
"62","fungi.Ecotone.LATR.8","Endophyte",26.5522177111516,"Ecotone_LATR_8",80,59.6,18,22.4,8.5,0,232,0.8,1.4,"E","Latr",8,3.07,197.11,23.22,1491.94,"144.69","9298.34",21.24,1365.2,"fungi.Ecotone.LATR.8","transitions","Ecotone","LATR",8,"E.Latr"
"63","fungi.Ecotone.LATR.8","Plant Pathogen",53.1919461800309,"Ecotone_LATR_8",80,59.6,18,22.4,8.5,0,232,0.8,1.4,"E","Latr",8,3.07,197.11,23.22,1491.94,"144.69","9298.34",21.24,1365.2,"fungi.Ecotone.LATR.8","transitions","Ecotone","LATR",8,"E.Latr"
"64","fungi.Ecotone.LATR.8","Saprotroph",100.853934922228,"Ecotone_LATR_8",80,59.6,18,22.4,8.5,0,232,0.8,1.4,"E","Latr",8,3.07,197.11,23.22,1491.94,"144.69","9298.34",21.24,1365.2,"fungi.Ecotone.LATR.8","transitions","Ecotone","LATR",8,"E.Latr"
"65","fungi.Ecotone.PLJA.1","Arbuscular Mycorrhizal",62.0775928301547,"Ecotone_PLJA_1",57,52.8,26,21.2,8.5,7,186,1,1.3,"E","Plja",1,3.58,204.55,37.08,2119.37,"252.38","14424.73",26.16,1495.16,"fungi.Ecotone.PLJA.1","transitions","Ecotone","PLJA",1,"E.Plja"
"66","fungi.Ecotone.PLJA.1","Endophyte",14.5094642802449,"Ecotone_PLJA_1",57,52.8,26,21.2,8.5,7,186,1,1.3,"E","Plja",1,3.58,204.55,37.08,2119.37,"252.38","14424.73",26.16,1495.16,"fungi.Ecotone.PLJA.1","transitions","Ecotone","PLJA",1,"E.Plja"
"67","fungi.Ecotone.PLJA.1","Plant Pathogen",28.1967934747901,"Ecotone_PLJA_1",57,52.8,26,21.2,8.5,7,186,1,1.3,"E","Plja",1,3.58,204.55,37.08,2119.37,"252.38","14424.73",26.16,1495.16,"fungi.Ecotone.PLJA.1","transitions","Ecotone","PLJA",1,"E.Plja"
"68","fungi.Ecotone.PLJA.1","Saprotroph",150.446037209688,"Ecotone_PLJA_1",57,52.8,26,21.2,8.5,7,186,1,1.3,"E","Plja",1,3.58,204.55,37.08,2119.37,"252.38","14424.73",26.16,1495.16,"fungi.Ecotone.PLJA.1","transitions","Ecotone","PLJA",1,"E.Plja"
"69","fungi.Ecotone.PLJA.2","Arbuscular Mycorrhizal",82.9749460142912,"Ecotone_PLJA_2",58,58.8,24,17.2,8.6,0,217,0.7,1,"E","Plja",2,1.08,70.39,21.4,1393.17,"166.28","10826.29",16.85,1096.86,"fungi.Ecotone.PLJA.2","transitions","Ecotone","PLJA",2,"E.Plja"
"70","fungi.Ecotone.PLJA.2","Endophyte",16.8112508160206,"Ecotone_PLJA_2",58,58.8,24,17.2,8.6,0,217,0.7,1,"E","Plja",2,1.08,70.39,21.4,1393.17,"166.28","10826.29",16.85,1096.86,"fungi.Ecotone.PLJA.2","transitions","Ecotone","PLJA",2,"E.Plja"
"71","fungi.Ecotone.PLJA.2","Plant Pathogen",53.498432265788,"Ecotone_PLJA_2",58,58.8,24,17.2,8.6,0,217,0.7,1,"E","Plja",2,1.08,70.39,21.4,1393.17,"166.28","10826.29",16.85,1096.86,"fungi.Ecotone.PLJA.2","transitions","Ecotone","PLJA",2,"E.Plja"
"72","fungi.Ecotone.PLJA.2","Saprotroph",106.84561959846,"Ecotone_PLJA_2",58,58.8,24,17.2,8.6,0,217,0.7,1,"E","Plja",2,1.08,70.39,21.4,1393.17,"166.28","10826.29",16.85,1096.86,"fungi.Ecotone.PLJA.2","transitions","Ecotone","PLJA",2,"E.Plja"
"73","fungi.Ecotone.PLJA.3","Arbuscular Mycorrhizal",200.890971400216,"Ecotone_PLJA_3",59,58.8,22,19.2,8.4,0,197,0.8,1.2,"E","Plja",3,2.14,113.4,31.5,1666.28,"161.18","8525.79",33.64,1779.59,"fungi.Ecotone.PLJA.3","transitions","Ecotone","PLJA",3,"E.Plja"
"74","fungi.Ecotone.PLJA.3","Endophyte",17.4020917585619,"Ecotone_PLJA_3",59,58.8,22,19.2,8.4,0,197,0.8,1.2,"E","Plja",3,2.14,113.4,31.5,1666.28,"161.18","8525.79",33.64,1779.59,"fungi.Ecotone.PLJA.3","transitions","Ecotone","PLJA",3,"E.Plja"
"75","fungi.Ecotone.PLJA.3","Plant Pathogen",54.0734785166986,"Ecotone_PLJA_3",59,58.8,22,19.2,8.4,0,197,0.8,1.2,"E","Plja",3,2.14,113.4,31.5,1666.28,"161.18","8525.79",33.64,1779.59,"fungi.Ecotone.PLJA.3","transitions","Ecotone","PLJA",3,"E.Plja"
"76","fungi.Ecotone.PLJA.3","Saprotroph",151.291365899769,"Ecotone_PLJA_3",59,58.8,22,19.2,8.4,0,197,0.8,1.2,"E","Plja",3,2.14,113.4,31.5,1666.28,"161.18","8525.79",33.64,1779.59,"fungi.Ecotone.PLJA.3","transitions","Ecotone","PLJA",3,"E.Plja"
"77","fungi.Ecotone.PLJA.4","Arbuscular Mycorrhizal",189.844771189263,"Ecotone_PLJA_4",60,58.8,22,19.2,8.5,4,186,0.9,1.2,"E","Plja",4,4.12,263.92,134.67,8625.86,"213.43","13670.82",28.26,1810.26,"fungi.Ecotone.PLJA.4","transitions","Ecotone","PLJA",4,"E.Plja"
"78","fungi.Ecotone.PLJA.4","Endophyte",22.7948068174245,"Ecotone_PLJA_4",60,58.8,22,19.2,8.5,4,186,0.9,1.2,"E","Plja",4,4.12,263.92,134.67,8625.86,"213.43","13670.82",28.26,1810.26,"fungi.Ecotone.PLJA.4","transitions","Ecotone","PLJA",4,"E.Plja"
"79","fungi.Ecotone.PLJA.4","Plant Pathogen",60.7195962747862,"Ecotone_PLJA_4",60,58.8,22,19.2,8.5,4,186,0.9,1.2,"E","Plja",4,4.12,263.92,134.67,8625.86,"213.43","13670.82",28.26,1810.26,"fungi.Ecotone.PLJA.4","transitions","Ecotone","PLJA",4,"E.Plja"
"80","fungi.Ecotone.PLJA.4","Saprotroph",201.247885854787,"Ecotone_PLJA_4",60,58.8,22,19.2,8.5,4,186,0.9,1.2,"E","Plja",4,4.12,263.92,134.67,8625.86,"213.43","13670.82",28.26,1810.26,"fungi.Ecotone.PLJA.4","transitions","Ecotone","PLJA",4,"E.Plja"
