OTU,PROTAX
OTU401,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU256,"Fungi,Ascomycota,unk"
OTU4616,"Fungi,Basidiomycota,Agaricomycetes"
OTU4316,"Fungi,Ascomycota,Eurotiomycetes"
OTU358,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU275,"Fungi,Basidiomycota,unk"
OTU224,"Fungi,Ascomycota,Eurotiomycetes,Onygenales,Gymnoascaceae,Arachniotus_291,unk"
OTU414,"Fungi,Ascomycota,Sordariomycetes"
OTU4223,"Fungi,Glomeromycota,unk"
OTU179,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU1880,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius_18018,unk"
OTU293,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium_7765,unk"
OTU259,"Fungi,Basidiomycota,Agaricomycetes"
OTU261,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk"
OTU285,"Fungi,Ascomycota,unk"
OTU304,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella_2553,unk"
OTU267,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Stropharia_18613,Stropharia_coronilla_232954"
OTU615,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus_542406,unk"
OTU2543,"Fungi,Ascomycota,Sordariomycetes,Hypocreales"
OTU2340,"Fungi,unk"
OTU404,"Fungi,unk"
OTU297,"Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys_7217,unk"
OTU130,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora_906,unk"
OTU203,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,dummy_family_Periconia,Periconia_9263,unk"
OTU270,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella_18378,unk"
OTU271,"Fungi,Ascomycota,Eurotiomycetes"
OTU311,"Fungi,unk"
OTU303,"Fungi,unk"
OTU2738,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae"
OTU291,"Fungi,Basidiomycota,Agaricomycetes,unk"
OTU512,"Fungi,Ascomycota,Dothideomycetes,Capnodiales"
OTU370,"Fungi,unk"
OTU206,"Fungi,Basidiomycota,Agaricomycetes,Agaricales"
OTU278,"Fungi,unk"
OTU2252,"Fungi,Ascomycota,Dothideomycetes,Pleosporales"
OTU369,"Fungi,Basidiomycota,Agaricomycetes,Agaricales"
OTU298,"Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae"
