"fungi.Grass.BOGR.1" "fungi.Ecotone.LATR.8" "fungi.Ecotone.PLJA.8" "fungi.Ecotone.PLJA.1" "fungi.Grass.BOER.4" "fungi.Grass.BOER.7" "fungi.Grass.PLJA.6" "fungi.Ecotone.LATR.5" "fungi.Shrub.LATR.8" "fungi.Grass.BOGR.7" "fungi.Ecotone.BOER.7" "fungi.Ecotone.PLJA.5" "fungi.Ecotone.BOER.4" "fungi.Ecotone.LATR.4" "fungi.Grass.PLJA.1" "fungi.Grass.PLJA.5" "fungi.Grass.BOGR.4" "fungi.Ecotone.PLJA.3" "fungi.Grass.BOGR.5" "fungi.Shrub.LATR.3" "fungi.Ecotone.BOER.8" "fungi.Ecotone.LATR.6" "fungi.Ecotone.BOER.3" "fungi.Grass.BOER.6" "fungi.Grass.PLJA.2" "fungi.Shrub.LATR.7" "fungi.Shrub.LATR.5" "fungi.Grass.BOER.5" "fungi.Ecotone.LATR.2" "fungi.Shrub.LATR.6" "fungi.Ecotone.LATR.3" "fungi.Ecotone.LATR.7" "fungi.Ecotone.PLJA.7" "fungi.Ecotone.BOER.2" "fungi.Grass.BOGR.3" "fungi.Shrub.LATR.2" "fungi.Shrub.LATR.4" "fungi.Ecotone.BOER.1" "fungi.Ecotone.BOER.5" "fungi.Grass.PLJA.7" "fungi.Grass.BOER.2" "fungi.Grass.BOGR.8" "fungi.Grass.BOGR.6" "fungi.Ecotone.BOER.6" "fungi.Grass.PLJA.8" "fungi.Grass.BOGR.2" "fungi.Grass.BOER.8" "fungi.Grass.PLJA.3" "fungi.Shrub.LATR.1" "fungi.Grass.BOER.3" "fungi.Ecotone.LATR.1" "fungi.Ecotone.PLJA.6" "fungi.Ecotone.PLJA.2" "fungi.Grass.BOER.1" "fungi.Ecotone.PLJA.4" "fungi.Grass.PLJA.4"
"OTU7" 0 0 0 0 1 0 0 1 2 0 0 3659 1 0 0 1 1200 1 335 0 1 1 0 1 0 0 0 1 1 0 0 25 0 0 2 1 0 2723 0 1 0 0 1 0 0 1 1 0 0 0 0 0 5 0 1 0
"OTU618" 0 113 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 8 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0
"OTU1867" 1 0 0 0 0 0 0 0 0 284 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU2618" 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU4088" 0 0 0 108 0 0 0 0 0 0 312 40 154 0 0 0 0 49 0 0 96 0 0 0 0 0 0 0 0 0 0 4 91 77 0 0 0 409 7 0 0 0 0 0 0 0 0 0 0 0 0 46 115 0 0 0
"OTU51" 602 0 0 0 203 0 2433 0 1 1 0 0 0 0 0 170 0 0 0 0 0 0 0 0 0 0 1 1607 0 0 0 0 0 1 0 28 0 0 0 0 0 7823 0 0 421 0 0 526 0 0 0 0 0 0 1 0
"OTU252" 2 0 0 0 0 57 731 0 0 83 0 0 0 0 0 788 0 0 0 0 11 0 1 0 0 0 0 941 0 0 0 0 4 0 0 1 0 0 0 0 28 0 54 0 181 85 0 0 0 0 0 0 1 0 0 0
"OTU3" 1 2 2 2 2 2 1 3 1 2 1 11 4 2 1 1 2 4 8 2 2 1 1 0 1 1 1 36 0 4 0 1 0 3 0 4 1 2 3 0 1 2 2 0 0 1 3 2 1 0 2 2 1 12 1 4
"OTU620" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 456 0 252 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU459" 0 0 51 0 0 82 0 0 0 0 0 0 0 739 3 0 0 0 0 0 0 36 0 9 0 0 0 0 0 100 65 0 0 24 0 2 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 1 29 0 0 0
