	Domain	Phylum	Class	Order	Family	Genus	Species
OTU132	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Lepiota	s:Lepiota_farinolens_SH029755.07FU
OTU133	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	UNKNOWN	UNKNOWN
OTU134	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	f:Onygenaceae	g:Amauroascus	UNKNOWN
OTU135	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	g:Lecanicillium	UNKNOWN
OTU136	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU137	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Conocybe	s:Conocybe_subovalis_SH176637.07FU
OTU138	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU139	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU140	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU141	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU142	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU143	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	UNKNOWN	UNKNOWN
OTU144	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Ceratobasidiaceae	UNKNOWN	UNKNOWN
OTU145	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	UNKNOWN	UNKNOWN	UNKNOWN
OTU146	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	UNKNOWN	UNKNOWN	UNKNOWN
OTU147	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Corticiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU148	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	UNKNOWN	UNKNOWN	UNKNOWN
OTU149	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU150	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Tubeufiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU151	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU152	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN
OTU153	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU154	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	UNKNOWN	UNKNOWN
OTU155	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	UNKNOWN	UNKNOWN	UNKNOWN
OTU156	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU157	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU158	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU159	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Trechisporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU160	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Clitopilus	UNKNOWN
OTU161	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	UNKNOWN	UNKNOWN	UNKNOWN
OTU162	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU163	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU164	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU165	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Crepidotaceae	g:Crepidotus	UNKNOWN
OTU166	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU167	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Pluteaceae	g:Volvariella	UNKNOWN
